Next particle
x(m)	y(m)	z(m)	Energy (GeV)
2.11401	1.98519	-0.930748	0.00311793
2.15046	2.01941	-0.939801	0.00311792
2.18691	2.05364	-0.948812	0.00311792
2.22335	2.08787	-0.957784	0.00311795
2.2598	2.1221	-0.966717	0.00311793
2.29625	2.15632	-0.975614	0.00311794
2.3327	2.19055	-0.984475	0.00311796
2.36915	2.22478	-0.993304	0.00311794
2.4056	2.25901	-1.0021	0.00311797
2.44204	2.29323	-1.01087	0.00311795
2.47849	2.32746	-1.0196	0.00311796
2.51494	2.36169	-1.02831	0.00311799
2.55139	2.39591	-1.03699	0.00311797
2.58784	2.43014	-1.04564	0.003118
2.62429	2.46437	-1.05427	0.00311797
2.66074	2.4986	-1.06288	0.00311798
2.69718	2.53282	-1.07146	0.00311801
2.73363	2.56705	-1.08002	0.00311799
2.77008	2.60128	-1.08856	0.00311802
2.80653	2.63551	-1.09708	0.003118
2.84298	2.66973	-1.10558	0.003118
2.87943	2.70396	-1.11406	0.00311804
2.91587	2.73819	-1.12252	0.00311801
2.95232	2.77242	-1.13096	0.00311802
2.98877	2.80664	-1.13939	0.00311806
3.02522	2.84087	-1.14779	0.00311803
3.06167	2.8751	-1.15619	0.00311807
3.09812	2.90933	-1.16457	0.00311804
3.13457	2.94355	-1.17293	0.00311804
3.17101	2.97778	-1.18128	0.00311809
3.20746	3.01201	-1.18961	0.00311806
3.24391	3.04623	-1.19793	0.0031181
3.28036	3.08046	-1.20624	0.00311807
3.31681	3.11469	-1.21454	0.00311807
3.35326	3.14892	-1.22282	0.00311812
3.3897	3.18314	-1.23109	0.00311808
3.42615	3.21737	-1.23935	0.00311814
3.4626	3.2516	-1.2476	0.0031181
3.49905	3.28583	-1.25584	0.0031181
3.5355	3.32005	-1.26406	0.00311816
3.57195	3.35428	-1.27228	0.00311811
3.60839	3.38851	-1.28049	0.00311817
3.64484	3.42274	-1.28869	0.00311813
3.68129	3.45696	-1.29688	0.00311813
3.71774	3.49119	-1.30506	0.00311819
3.75419	3.52542	-1.31323	0.00311815
3.79064	3.55964	-1.32139	0.00311815
3.82709	3.59387	-1.32954	0.00311822
3.86353	3.6281	-1.33769	0.00311817
3.89998	3.66233	-1.9665	0.00311823
3.93643	3.69655	-1.97872	0.00311818
3.97288	3.73078	-1.99092	0.00311819
4.00933	3.76501	-2.00312	0.00311826
4.04578	3.79924	-2.01529	0.0031182
4.08222	3.83346	-2.02746	0.00311827
4.11867	3.86769	-2.03962	0.00311822
4.15512	3.90192	-2.05176	0.00311822
4.19157	3.93615	-2.06389	0.0031183
